web-scraper-order,web-scraper-start-url,nama,harga,detail
"1520907239-361","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Kopi","Rp. 8,000",""
"1520907239-332","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Ayam Kalasan Negri 1/2 Ekor","Rp. 30,000",""
"1520907239-368","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Teh Botol Kotak","Rp. 6,000",""
"1520907239-325","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Ayam Kremes Negri 1 Ekor","Rp. 47,000",""
"1520907239-365","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Es Blackcurrant / Blackcurrant Panas","Rp. 12,000",""
"1520907239-350","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","1 Ekor Bebek Muda Kremes","Rp. 60,000",""
"1520907239-343","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Paru Goreng Kremes","Rp. 23,000",""
"1520907239-326","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Ayam Kremes Negri 1/2 Ekor","Rp. 30,000",""
"1520907239-315","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Paket C ( Ayam Kampung )","Rp. 25,000","Nasi, Sayur Asem, Ayam Goreng / Kalasan Bakar"
"1520907239-324","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Paket Bandeng C","Rp. 33,000","Nasi, Sayur Asem, Bandeng Kremes Tanpa Duri"
"1520907239-321","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Paket Nila C","Rp. 27,000","Nasi, Sayur Asem, Nila Goreng"
"1520907239-347","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Sayur Urap","Rp. 16,000",""
"1520907239-357","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Nasi Putih","Rp. 5,000",""
"1520907239-355","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Sambal Bawang Besar","Rp. 26,000",""
"1520907239-311","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Paket Ayam A ( Ayam Kampung )","Rp. 25,000","Nasi, Sayur Urap, Ayam Goreng / Kalasan Bakar"
"1520907239-330","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Ayam Kremes Kampung Dada/Paha","Rp. 17,000",""
"1520907239-314","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Paket C ( Ayam Negri )","Rp. 21,500","Nasi, Sayur Asem, Ayam Goreng / Kalasan Bakar"
"1520907239-328","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Ayam Kremes Kampung 1 Ekor","Rp. 57,000",""
"1520907239-334","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Ayam Kalasan Kampung 1 Ekor","Rp. 57,000",""
