web-scraper-order,web-scraper-start-url,nama,harga
"1520906190-85","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Cumi  Goreng Tepung","Rp. 34,100"
"1520906190-54","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Bihun Goreng Seafood","Rp. 31,900"
"1520906190-94","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Tongseng Ayam","Rp. 27,500"
"1520906190-2","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Bakso Mie","Rp. 24,200"
"1520906190-42","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Goreng Otak-Otak","Rp. 27,500"
"1520906190-131","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Air Mineral","Rp. 8,800"
"1520906190-93","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Rawon","Rp. 27,500"
"1520906190-73","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Ayam Rica-Rica","Rp. 31,900"
"1520906190-77","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Sapi Lada Hitam","Rp. 35,200"
"1520906190-110","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Juice Mangga","Rp. 16,500"
"1520906190-35","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Cumi Saus Padang","Rp. 30,800"
"1520906190-13","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Pangsit Goreng","Rp. 16,500"
"1520906190-61","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Kwetiau Goreng Lapangan Tembak","Rp. 39,600"
"1520906190-83","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Udang Saus Padang","Rp. 34,100"
"1520906190-62","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Hotplate Kangkung Seafood","Rp. 35,200"
"1520906190-105","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Iced Blend Vanilla","Rp. 23,100"
"1520906190-33","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Cumi Rica-Rica","Rp. 30,800"
"1520906190-51","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","I Fu Mie","Rp. 30,800"
"1520906190-99","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Es Teler","Rp. 19,800"
"1520906190-43","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Goreng Seafood","Rp. 31,900"
"1520906190-74","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Ayam Asam Manis","Rp. 31,900"
"1520906190-126","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Teh Tawar (Es/Panas)","Rp. 4,400"
"1520906190-130","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Teh  Botol","Rp. 8,800"
"1520906190-103","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Iced Blend Tarocreme","Rp. 23,100"
"1520906190-88","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Cumi Asam Manis","Rp. 34,100"
"1520906190-16","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Sapo Tahu","Rp. 29,700"
"1520906190-32","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Cumi Kuluyuk","Rp. 30,800"
"1520906190-101","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Es Durian","Rp. 19,800"
"1520906190-44","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Goreng Kambing","Rp. 31,900"
"1520906190-38","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Goreng Jawa","Rp. 27,500"
"1520906190-125","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Teh Manis (Es/Panas)","Rp. 6,600"
"1520906190-19","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Ayam Goreng Mentega","Rp. 29,700"
"1520906190-82","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Udang Asam Manis","Rp. 34,100"
"1520906190-87","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Cumi Rica-Rica","Rp. 34,100"
"1520906190-113","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Juice Alpukat","Rp. 16,500"
"1520906190-5","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Bakso Kuah","Rp. 24,200"
"1520906190-59","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Kwetiau Goreng Seafood","Rp. 31,900"
"1520906190-10","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Mie Ayam Biasa","Rp. 20,900"
"1520906190-129","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Soft Drink (Fanta/Cola/Sprite)","Rp. 8,800"
"1520906190-53","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Bihun Goreng Sosis","Rp. 27,500"
"1520906190-20","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Ayam Kuluyuk","Rp. 29,700"
"1520906190-23","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Ayam Saus Padang","Rp. 29,700"
"1520906190-28","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Udang Kuluyuk","Rp. 30,800"
"1520906190-14","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Cap Cay","Rp. 29,700"
"1520906190-34","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Cumi Asam Manis","Rp. 30,800"
"1520906190-97","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Putih","Rp. 7,700"
"1520906190-122","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Jeruk (Es/Panas)","Rp. 16,500"
"1520906190-106","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Iced Blend Greentea","Rp. 23,100"
"1520906190-3","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Bakso Bihun","Rp. 24,200"
"1520906190-72","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Ayam Kuluyuk","Rp. 31,900"
"1520906190-18","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Ayam Goreng Tepung","Rp. 29,700"
"1520906190-36","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Goreng Special","Rp. 27,500"
"1520906190-123","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Lemon Tea (Es/Panas)","Rp. 16,500"
"1520906190-98","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Pisang Goreng Keju","Rp. 16,500"
"1520906190-46","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Goreng  Lapangan Tembak","Rp. 39,600"
"1520906190-117","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Mix Juice","Rp. 16,500"
"1520906190-21","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Ayam Rica-Rica","Rp. 29,700"
"1520906190-100","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Es Lapangan Tembak","Rp. 19,800"
"1520906190-27","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Udang Goreng Tepung","Rp. 30,800"
"1520906190-63","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Hotplate Kangkung Sapi","Rp. 35,200"
"1520906190-7","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Bakso Penyet","Rp. 24,200"
"1520906190-30","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Udang Asam Manis","Rp. 30,800"
"1520906190-111","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Juice Jambu","Rp. 15,400"
"1520906190-91","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Soto Ayam","Rp. 22,000"
"1520906190-4","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Bakso Kwetiau","Rp. 24,200"
"1520906190-120","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Es Kelapa","Rp. 16,500"
"1520906190-127","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Kopi Hitam","Rp. 15,400"
"1520906190-69","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Cap Cay Cah","Rp. 31,900"
"1520906190-29","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Udang Rica-Rica","Rp. 30,800"
"1520906190-8","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Bakso Special","Rp. 26,400"
"1520906190-95","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Tongseng Kambing","Rp. 28,600"
"1520906190-26","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Bistik Sapi","Rp. 31,900"
"1520906190-37","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Goreng Sosis","Rp. 27,500"
"1520906190-78","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Bistik Sapi","Rp. 35,200"
"1520906190-47","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Mie Goreng Special","Rp. 27,500"
"1520906190-121","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Es Kelapa Jeruk","Rp. 16,500"
"1520906190-109","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Juice Tomat","Rp. 16,500"
"1520906190-104","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Iced Blend Chocolate","Rp. 23,100"
"1520906190-112","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Juice Strawberry","Rp. 15,400"
"1520906190-66","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Kangkung Polos","Rp. 19,800"
"1520906190-40","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Goreng Pete","Rp. 27,500"
"1520906190-81","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Udang Rica-Rica","Rp. 34,100"
"1520906190-65","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Sapo Tahu Ayam","Rp. 29,700"
"1520906190-60","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Kwetiau Siram","Rp. 30,800"
"1520906190-52","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Mie Goreng Lapangan Tembak","Rp. 39,600"
