web-scraper-order,web-scraper-start-url,nama-resto,nama-resto-href,nama-makanan,harga-makanan,detail-makanan
"1520910575-2618","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Satrio","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-satrio","Paket 5","Rp. 50,600","Nasi+Rendang+Ayam+Sayur+Sambel+lalap+Pisang"
"1520910451-2380","https://www.pumasera.com/content/restaurant","Restoran Tio Ciu Mangga Besar","https://www.pumasera.com/content/restaurant/detail/restoran-tio-ciu-mangga-besar","Pu Yung Hai","Rp. 88,000","Large"
"1520909658-1360","https://www.pumasera.com/content/restaurant","Teo Chew Palace","https://www.pumasera.com/content/restaurant/detail/teo-chew-palace","Roti Goreng Udang Saus Madu","Rp. 41,580","Medium: Rp.62.370
Large: Rp.83.160"
"1520910761-3130","https://www.pumasera.com/content/restaurant","Rempa Manado","https://www.pumasera.com/content/restaurant/detail/rempa-manado","Paket Special 5","Rp. 55,000","Nasi+Ayam Goreng / Bakar+Kangkung Tumis Bunga Pepaya+Acar Kuning+Perkedel Jagung+Sambal Terasi+Kerupuk+Buah"
"1520910514-2443","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Sudirman Park","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-sudirman-park","Gulai Telor Ikan","Rp. 19,800",""
"1520910885-3342","https://www.pumasera.com/content/restaurant","Puput Chinese Food Setiabudi","https://www.pumasera.com/content/restaurant/detail/puput-chinese-food-setiabudi","Kepiting Soka Telur Asin","Rp. 56,595",""
"1520911312-3827","https://www.pumasera.com/content/restaurant","Otak Otak Ibu Elly Khas Makassar","https://www.pumasera.com/content/restaurant/detail/otak-otak-ibu-elly-khas-makassar","Kepiting Asam manis","Rp. 160,000","Per Porsi"
"1520910082-1684","https://www.pumasera.com/content/restaurant","Sop Buntut Ibu Samino","https://www.pumasera.com/content/restaurant/detail/sop-buntut-ibu-samino","Paket Nasi Ayam Bakar","Rp. 26,000","Nasi putih,ayam bakar,lemon tea panas/dingin,sambal,lalap"
"1520910451-2073","https://www.pumasera.com/content/restaurant","Restoran Tio Ciu Mangga Besar","https://www.pumasera.com/content/restaurant/detail/restoran-tio-ciu-mangga-besar","Sam Ki Ti Kuah","Rp. 88,000","Large"
"1520909535-1310","https://www.pumasera.com/content/restaurant","Tinoor Makmur","https://www.pumasera.com/content/restaurant/detail/tinoor-makmur","B2 Kecap","Rp. 35,000","Per Porsi"
"1520911007-3557","https://www.pumasera.com/content/restaurant","Pondok Mutiara 68","https://www.pumasera.com/content/restaurant/detail/pondok-mutiara-68","Kangkung Cah Polos","Rp. 15,400","Porsi"
"1520909899-1560","https://www.pumasera.com/content/restaurant","Soto Ambengan Pak Sadi","https://www.pumasera.com/content/restaurant/detail/soto-ambengan-pak-sadi","Juice Sirsak","Rp. 17,600",""
"1520910700-2930","https://www.pumasera.com/content/restaurant","Resto Mandala","https://www.pumasera.com/content/restaurant/detail/resto-mandala","Mun tahu polos(Vegetarian)","Rp. 55,200",""
"1520911251-3796","https://www.pumasera.com/content/restaurant","Oto Bento","https://www.pumasera.com/content/restaurant/detail/oto-bento","Tori No Teba","Rp. 29,000","2 Tori No Teba & Salad"
"1520910885-3319","https://www.pumasera.com/content/restaurant","Puput Chinese Food Setiabudi","https://www.pumasera.com/content/restaurant/detail/puput-chinese-food-setiabudi","Udang Garam Cabe","Rp. 56,595",""
"1520910082-1594","https://www.pumasera.com/content/restaurant","Sop Buntut Ibu Samino","https://www.pumasera.com/content/restaurant/detail/sop-buntut-ibu-samino","Sop Buntut biasa+Nasi","Rp. 50,000",""
"1520910637-2785","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Kebon Jeruk","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-kebon-jeruk","Kerupuk Kulit","Rp. 4,400","Per Box"
"1520910700-2951","https://www.pumasera.com/content/restaurant","Resto Mandala","https://www.pumasera.com/content/restaurant/detail/resto-mandala","Kodok masak tauco","Rp. 105,600",""
"1520910700-3022","https://www.pumasera.com/content/restaurant","Resto Mandala","https://www.pumasera.com/content/restaurant/detail/resto-mandala","Lo Bihun","Rp. 79,200",""
"1520910700-2908","https://www.pumasera.com/content/restaurant","Resto Mandala","https://www.pumasera.com/content/restaurant/detail/resto-mandala","Udang goreng saos mayones","Rp. 105,600",""
"1520910264-1784","https://www.pumasera.com/content/restaurant","Sarimande Metropolitan","https://www.pumasera.com/content/restaurant/detail/sarimande-metropolitan","Gulai Tunjang","Rp. 19,800",""
"1520911190-3669","https://www.pumasera.com/content/restaurant","Pang Garden","https://www.pumasera.com/content/restaurant/detail/pang-garden","Mie/Bihun/Kwetiau Special","Rp. 23,000",""
"1520909658-1459","https://www.pumasera.com/content/restaurant","Teo Chew Palace","https://www.pumasera.com/content/restaurant/detail/teo-chew-palace","Komb.Teo Chew 4 macam","Rp. 187,110","Small"
"1520910451-2150","https://www.pumasera.com/content/restaurant","Restoran Tio Ciu Mangga Besar","https://www.pumasera.com/content/restaurant/detail/restoran-tio-ciu-mangga-besar","Mie/Bihun/Kwetiau Goreng","Rp. 99,000","Large"
"1520909303-973","https://www.pumasera.com/content/restaurant","Warung Tekko","https://www.pumasera.com/content/restaurant/detail/warung-tekko","Nasi Putih","Rp. 4,400","1/2 Porsi"
"1520911190-3667","https://www.pumasera.com/content/restaurant","Pang Garden","https://www.pumasera.com/content/restaurant/detail/pang-garden","Mie/Bihun/Kwetiau Ayam","Rp. 19,000",""
"1520911312-3840","https://www.pumasera.com/content/restaurant","Otak Otak Ibu Elly Khas Makassar","https://www.pumasera.com/content/restaurant/detail/otak-otak-ibu-elly-khas-makassar","Bakar kecap","Rp. 39,900","Per Porsi"
"1520909718-1506","https://www.pumasera.com/content/restaurant","Soto Mie Sarodja","https://www.pumasera.com/content/restaurant/detail/soto-mie-sarodja","Soup Daging Bakso","Rp. 37,000","kuah soto mie yang segar dan Daging yang berlimpah + dua butir bakso serta dilengkapi dengan sayuran tomat, kentang dan kol"
"1520910823-3159","https://www.pumasera.com/content/restaurant","Raja Konro Daeng Naba","https://www.pumasera.com/content/restaurant/detail/raja-konro-daeng-naba","Konro Bakar Pedas Korea","Rp. 80,300","Normal"
"1520910514-2481","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Sudirman Park","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-sudirman-park","Martabak Mesir Spesial","Rp. 38,500",""
"1520911190-3737","https://www.pumasera.com/content/restaurant","Pang Garden","https://www.pumasera.com/content/restaurant/detail/pang-garden","Nasi Goreng Hongkong","Rp. 22,000",""
"1520911190-3764","https://www.pumasera.com/content/restaurant","Pang Garden","https://www.pumasera.com/content/restaurant/detail/pang-garden","Kacang Telur","Rp. 30,000","1/2 Kg"
