web-scraper-order,web-scraper-start-url,nama,harga,detail
"1520907528-535","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Daging Cah Kailan","Rp. 55,000",""
"1520907528-413","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Pangsit Kuah (4 pcs)","Rp. 20,000",""
"1520907528-631","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Es Jeruk Nipis","Rp. 17,000",""
"1520907528-450","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kwetiau Ayam Campur","Rp. 31,000",""
"1520907528-642","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Es Gembira","Rp. 24,000",""
"1520907528-390","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Goreng","Rp. 40,000",""
"1520907528-431","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bihun Ayam Telur Puyuh","Rp. 36,000",""
"1520907528-536","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Daging Saos Tomat","Rp. 55,000",""
"1520907528-640","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Es Campur","Rp. 24,000",""
"1520907528-632","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Es Lidah Buaya","Rp. 17,000",""
"1520907528-416","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Pangsit Goreng (4 pcs)","Rp. 20,000",""
"1520907528-453","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kwetiau Goreng","Rp. 40,000",""
"1520907528-641","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Es Alpukat","Rp. 24,000",""
"1520907528-405","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","I Fu Mie Spesial (L)","Rp. 50,000",""
"1520907528-557","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Goreng Seafood","Rp. 40,000",""
"1520907528-426","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakso Ikan (4 pcs)","Rp. 24,000",""
