web-scraper-order,web-scraper-start-url,name,harga
"1520912519-426","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Apple Turn Over","Rp. 13,500"
"1520912519-412","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Butter Croissant","Rp. 4,500"
"1520912519-415","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Chocolate Croissant","Rp. 4,500"
"1520912519-407","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Paket Mini Box isi 3 pcs mini Pastry","Rp. 25,000"
"1520912519-421","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Chicken Feuillete","Rp. 6,500"
"1520912519-417","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Cinnamon","Rp. 5,500"
"1520912519-432","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Almond Turn Over","Rp. 6,500"
"1520912519-406","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Cookies & Cake Hampers Special Ramadhan","Rp. 185,000"
"1520912519-427","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Apple Turn Over","Rp. 6,500"
"1520912519-428","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Beef and Mushroom Quice","Rp. 22,000"
"1520912519-410","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Paket Box isi 6 pcs normal Pastry","Rp. 100,000"
"1520912519-408","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Paket Mini Box isi 4 pcs mini Pastry","Rp. 35,000"
"1520912519-414","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Chocolate Croissant","Rp. 12,000"
"1520912519-413","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Almond Croissant","Rp. 17,500"
"1520912519-433","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Cream Cheese Puff","Rp. 10,500"
"1520912519-416","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Cinnamon","Rp. 10,000"
"1520912519-418","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Sultana","Rp. 10,000"
"1520912519-419","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Sultana","Rp. 5,500"
"1520912519-424","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Cheese Feuillete","Rp. 13,500"
"1520912519-423","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Tuna Mushroom Feuillete","Rp. 6,500"
"1520912519-430","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Sausage Croissant","Rp. 13,500"
"1520912519-429","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Beef and Mushroom Quice","Rp. 10,000"
"1520912519-436","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Beef Blackpepper","Rp. 13,000"
"1520912519-422","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Tuna Mushroom Feuillete","Rp. 13,500"
"1520912519-409","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Paket Box isi 12 mini Pastry","Rp. 85,000"
"1520912519-420","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Chicken Feuillete","Rp. 13,500"
"1520912519-411","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Butter Croissant","Rp. 7,800"
"1520912519-425","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Cheese Feuillete","Rp. 6,500"
"1520912519-431","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Almond Turn Over","Rp. 13,000"
"1520912519-435","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Banana Chococheese","Rp. 11,000"
"1520912519-434","https://www.pumasera.com/content/restaurant/detail/deli-patissiere","Cream Cheese Puff","Rp. 6,500"
