web-scraper-order,web-scraper-start-url,name,harga
"1520912755-670","https://www.pumasera.com/content/restaurant/detail/olah-burger","Mato Mustard","Rp. 0"
"1520912755-655","https://www.pumasera.com/content/restaurant/detail/olah-burger","Olah Double Chicken","Rp. 48,000"
"1520912755-653","https://www.pumasera.com/content/restaurant/detail/olah-burger","Olah Single Chicken","Rp. 35,000"
"1520912755-676","https://www.pumasera.com/content/restaurant/detail/olah-burger","Black Coffe (Hot)","Rp. 20,000"
"1520912755-662","https://www.pumasera.com/content/restaurant/detail/olah-burger","Burger With Fries","Rp. 15,000"
"1520912755-667","https://www.pumasera.com/content/restaurant/detail/olah-burger","Egg","Rp. 6,000"
"1520912755-654","https://www.pumasera.com/content/restaurant/detail/olah-burger","Olah Double Beef","Rp. 63,000"
"1520912755-661","https://www.pumasera.com/content/restaurant/detail/olah-burger","Full Meal Combo 2","Rp. 43,000"
"1520912755-656","https://www.pumasera.com/content/restaurant/detail/olah-burger","Olah Meatball Beef","Rp. 28,000"
"1520912755-669","https://www.pumasera.com/content/restaurant/detail/olah-burger","Beef Bacon","Rp. 6,000"
"1520912755-660","https://www.pumasera.com/content/restaurant/detail/olah-burger","Full Meal Combo 1","Rp. 25,000"
"1520912755-659","https://www.pumasera.com/content/restaurant/detail/olah-burger","Olah Cheesee Double","Rp. 35,000"
"1520912755-675","https://www.pumasera.com/content/restaurant/detail/olah-burger","Chocomilkshake With Hershey's","Rp. 30,000"
"1520912755-672","https://www.pumasera.com/content/restaurant/detail/olah-burger","Mayo Pickle","Rp. 0"
"1520912755-665","https://www.pumasera.com/content/restaurant/detail/olah-burger","Fresh Cut Freis","Rp. 18,000"
"1520912755-671","https://www.pumasera.com/content/restaurant/detail/olah-burger","Spicy BBQ","Rp. 0"
"1520912755-666","https://www.pumasera.com/content/restaurant/detail/olah-burger","Fresh Cut Chili Fries","Rp. 30,000"
"1520912755-673","https://www.pumasera.com/content/restaurant/detail/olah-burger","Teriyaki","Rp. 0"
"1520912755-664","https://www.pumasera.com/content/restaurant/detail/olah-burger","Burger With Shake","Rp. 28,000"
"1520912755-674","https://www.pumasera.com/content/restaurant/detail/olah-burger","Coke / Coke Zero / Sprite / Teh Botol / Mineral Water","Rp. 12,000"
"1520912755-658","https://www.pumasera.com/content/restaurant/detail/olah-burger","Olah Cheesee Single","Rp. 28,000"
"1520912755-652","https://www.pumasera.com/content/restaurant/detail/olah-burger","Olah Single Beef","Rp. 45,000"
"1520912755-668","https://www.pumasera.com/content/restaurant/detail/olah-burger","Cheese","Rp. 6,000"
"1520912755-663","https://www.pumasera.com/content/restaurant/detail/olah-burger","Burger With Drink","Rp. 10,000"
"1520912755-657","https://www.pumasera.com/content/restaurant/detail/olah-burger","Olah Double Beef&Chicken","Rp. 58,000"
