web-scraper-order,web-scraper-start-url,name,harga
"1520912594-486","https://www.pumasera.com/content/restaurant/detail/delicio","Sokhora Almond Delicio","Rp. 6,500"
"1520912594-545","https://www.pumasera.com/content/restaurant/detail/delicio","Centik Manis","Rp. 5,500"
"1520912594-462","https://www.pumasera.com/content/restaurant/detail/delicio","Beef Teriyaki Bun","Rp. 11,000"
"1520912594-551","https://www.pumasera.com/content/restaurant/detail/delicio","Onde-Onde","Rp. 5,500"
"1520912594-487","https://www.pumasera.com/content/restaurant/detail/delicio","Strawberry Bread","Rp. 4,500"
"1520912594-478","https://www.pumasera.com/content/restaurant/detail/delicio","Coconut Java Bread","Rp. 4,500"
"1520912594-448","https://www.pumasera.com/content/restaurant/detail/delicio","Tasty Banana Cheese","Rp. 9,000"
"1520912594-506","https://www.pumasera.com/content/restaurant/detail/delicio","Lapis Surabaya Mini","Rp. 5,500"
"1520912594-484","https://www.pumasera.com/content/restaurant/detail/delicio","Raisin Bread","Rp. 4,500"
"1520912594-522","https://www.pumasera.com/content/restaurant/detail/delicio","Swiss Roll Vanilla Slice Mini","Rp. 4,000"
"1520912594-474","https://www.pumasera.com/content/restaurant/detail/delicio","Blueberry Bread","Rp. 4,500"
"1520912594-525","https://www.pumasera.com/content/restaurant/detail/delicio","Almond Croissant","Rp. 13,500"
"1520912594-451","https://www.pumasera.com/content/restaurant/detail/delicio","Cheese Mayonaise Bread","Rp. 8,500"
"1520912594-446","https://www.pumasera.com/content/restaurant/detail/delicio","Red Bean Bun","Rp. 8,500"
"1520912594-510","https://www.pumasera.com/content/restaurant/detail/delicio","Pudding Fruity Mini","Rp. 7,500"
"1520912594-443","https://www.pumasera.com/content/restaurant/detail/delicio","Long John Choco Bun","Rp. 8,500"
"1520912594-558","https://www.pumasera.com/content/restaurant/detail/delicio","Semar Mendem","Rp. 6,000"
"1520912594-439","https://www.pumasera.com/content/restaurant/detail/delicio","Coconut Java Bread","Rp. 8,500"
"1520912594-517","https://www.pumasera.com/content/restaurant/detail/delicio","Green Red Bean Swiss Roll Mini","Rp. 4,500"
"1520912594-505","https://www.pumasera.com/content/restaurant/detail/delicio","Choco Strip Cheese","Rp. 5,000"
