web-scraper-order,web-scraper-start-url,nama,deskripsi,foto-src,harga
"1520906580-34","https://www.phd.co.id/en/chicken","Chicken WingStreet - 10 pieces","10 potong sayap ayam WingStreet dengan berbagai pilihan saus sesuai selera.","https://static.phd.co.id/menu/PHD_id-Chicken_Wingstreet_10-pcs.png","Rp 65,000"
"1520906580-36","https://www.phd.co.id/en/chicken","Chicken WingStreet - 6 pieces","6 potong sayap ayam WingStreet dengan berbagai pilihan saus sesuai selera","https://static.phd.co.id/menu/Chicken_Wingstreet_6-pcs_Menu_item_new.png","Rp 45,000"
"1520906580-35","https://www.phd.co.id/en/chicken","Boneless Chicken Thigh","Daging paha ayam tanpa tulang, rasanya meresap hingga ke dalam. Tersedia dalam 4 pilihan saus","https://s3-ap-southeast-1.amazonaws.com/pizzahutidtest/menu/chicken_boneless_thigh.png","Rp 42,000"
