web-scraper-order,web-scraper-start-url,name,harga
"1520912694-651","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Serra Da Estrela Albariño (Rias Baixas)","Rp. 325,000"
"1520912694-633","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Wyndham Estate Bin 222 Chardonnay","Rp. 368,500"
"1520912694-621","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Jacob's Creek Shiraz-Cab","Rp. 275,000"
"1520912694-598","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Martel VSOP","Rp. 885,000"
"1520912694-584","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Macallan 12","Rp. 1,870,000"
"1520912694-611","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Martini Rosso","Rp. 370,000"
"1520912694-637","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Viña Maipo Blend Cab Sauv-Merlot","Rp. 255,000"
"1520912694-640","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Viña Maipo Blend Syrah-Cab Sauv","Rp. 255,000"
"1520912694-628","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Penfolds Koonunga Hill Shiraz-Cabernet","Rp. 375,000"
"1520912694-585","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Absolut Blue","Rp. 638,000"
"1520912694-588","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Beefeater","Rp. 330,000"
"1520912694-613","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Pimm's No 1","Rp. 355,000"
"1520912694-595","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Jose Cuervo","Rp. 395,000"
"1520912694-606","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Jaggermeister","Rp. 475,000"
"1520912694-609","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Campari","Rp. 425,000"
"1520912694-601","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Bailey's Irish Cream","Rp. 709,500"
"1520912694-641","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Viña Maipo Varietal Selection Carmenere","Rp. 255,000"
"1520912694-612","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Martini Bianco","Rp. 370,000"
"1520912694-600","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Amaretto Disarano","Rp. 535,000"
"1520912694-649","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Ébano 6 Tempranillo (Ribera Del Duero)","Rp. 310,000"
"1520912694-602","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Bols Triple Sec","Rp. 395,000"
"1520912694-632","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Wolf Blass Yellow Label Merlot","Rp. 415,000"
"1520912694-574","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Ballantine's","Rp. 350,000"
"1520912694-624","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Penfolds Rawson's Retreat Shiraz-Cabernet","Rp. 363,000"
"1520912694-647","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Viña Maipo Vitral Reserva Sauv Blanc","Rp. 300,000"
"1520912694-583","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Glenlivet 12","Rp. 600,000"
"1520912694-594","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Myer's Original Dark","Rp. 340,000"
"1520912694-627","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Penfolds Koonunga Hill Shiraz","Rp. 375,000"
"1520912694-634","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Wyndham Estate Bin 555 Shiraz","Rp. 368,500"
"1520912694-630","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Wolf Blass Yellow Label Reisling","Rp. 415,000"
"1520912694-582","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Glenfiddich 12","Rp. 750,000"
"1520912694-596","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Patrón Silver","Rp. 1,150,000"
"1520912694-610","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Martini Extra Dry","Rp. 370,000"
"1520912694-575","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Chivas Regal 12","Rp. 825,000"
"1520912694-579","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Jack Daniel's","Rp. 715,000"
"1520912694-644","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Viña Maipo Vitral Reserva Cab Sauv","Rp. 300,000"
"1520912694-636","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Wyndham Estate Bin 999 Merlot","Rp. 456,500"
"1520912694-620","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Jacob's Creek Shiraz","Rp. 275,000"
"1520912694-650","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Mar & Sol Sangría","Rp. 250,000"
"1520912694-590","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Gordon's","Rp. 350,000"
"1520912694-607","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Kahlua","Rp. 671,000"
"1520912694-586","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Grey Goose","Rp. 803,000"
"1520912694-631","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Wolf Blass Yellow Label Shiraz","Rp. 415,000"
"1520912694-576","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Famous Grouse","Rp. 365,000"
"1520912694-616","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Argento Malbec","Rp. 375,000"
"1520912694-592","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Bacardi Gold","Rp. 320,000"
