web-scraper-order,web-scraper-start-url,name,harga
"1520912694-608","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Midori","Rp. 475,000"
"1520912694-638","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Viña Maipo Blend Carmenere-Cab Sauv","Rp. 255,000"
"1520912694-581","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Jameson's","Rp. 825,000"
"1520912694-645","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Viña Maipo Vitral Reserva Chardonnay","Rp. 300,000"
"1520912694-643","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Viña Maipo Varietal Selection Sauv Blanc","Rp. 255,000"
"1520912694-615","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Tio Pepe Sherry","Rp. 500,000"
"1520912694-580","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Jim Beam","Rp. 605,000"
"1520912694-587","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Smirnoff Red","Rp. 360,000"
"1520912694-604","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Frangelico","Rp. 525,000"
"1520912694-577","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Johnnie Walker Red","Rp. 605,000"
"1520912694-593","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Malibu Coconut","Rp. 425,000"
"1520912694-591","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Bacardi Superior Light","Rp. 660,000"
"1520912694-617","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Catena Malbec","Rp. 650,000"
"1520912694-603","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Cointreau","Rp. 415,000"
"1520912694-614","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Cockburn's Tawny Port","Rp. 515,000"
"1520912694-642","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Viña Maipo Varietal Selection Chardonnay","Rp. 255,000"
"1520912694-648","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Viña Maipo Vitral Reserva Syrah","Rp. 300,000"
"1520912694-618","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Terrazas Altos Del Plata Malbec","Rp. 515,000"
"1520912694-622","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Penfolds Rawson's Retreat Cabernet Sauvignon","Rp. 363,000"
"1520912694-635","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Wyndham Estate Bin 888 Cabernet Merlot","Rp. 456,500"
"1520912694-597","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Hennessy VSOP","Rp. 1,025,000"
"1520912694-589","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Bombay Sapphire","Rp. 693,000"
"1520912694-629","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Wolf Blass Yellow Label Cabernet Sauvignon","Rp. 415,000"
"1520912694-578","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Johnnie Walker Black","Rp. 885,000"
"1520912694-619","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Jacob's Creek Chardonnay","Rp. 275,000"
"1520912694-639","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Viña Maipo Blend Sauv Blanc-Chardonnay","Rp. 255,000"
"1520912694-623","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Penfolds Rawson's Retreat Merlot","Rp. 363,000"
"1520912694-626","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Penfolds Koonunga Hill Cabernet-Merlot","Rp. 375,000"
"1520912694-625","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Penfolds Koonunga Hill Cabernet Sauvignon","Rp. 375,000"
"1520912694-646","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Viña Maipo Vitral Reserva Merlot","Rp. 300,000"
"1520912694-605","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Grand Marnier","Rp. 675,000"
"1520912694-599","https://www.pumasera.com/content/restaurant/detail/mambo-bodega","Remy Martin VSOP","Rp. 925,000"
