web-scraper-order,web-scraper-start-url,nama,deskripsi,foto-src,harga
"1520906510-31","https://www.phd.co.id/en/pasta","Beef Spaghetti","Nikmati daging sapi cincang, saus tomat segar, dan tambahan taburan keju cheddar dalam Beef Spaghetti yang lezat!","https://s3-ap-southeast-1.amazonaws.com/pizzahutidtest/menu/pastas_beef_spaghetti.png","Rp 43,000"
"1520906510-30","https://www.phd.co.id/en/pasta","Pepperoni Cheese Fusilli","Pasta fusili diselimuti saus keju cheddar, bertabur pepperoni sapi dan daun peterseli yang begitu lezat di lidah","https://s3-ap-southeast-1.amazonaws.com/pizzahutidtest/menu/pastas_pepperoni_cheese_fusilli.png","Rp 43,000"
"1520906510-33","https://www.phd.co.id/en/pasta","Tuna Melt Spaghetti","Gurihnya pasta dengan saus tuna yang creamy, disajikan dengan potongan chicken chunk renyah. Double nikmatnya!","https://s3-ap-southeast-1.amazonaws.com/pizzahutidtest/menu/pastas_tunamelt_spaghetti.png","Rp 43,000"
"1520906510-29","https://www.phd.co.id/en/pasta","Beef Lasagna","Nikmati kelezatan daging sapi cincang berselimut lapisan pasta yang mewah dengan lelehan krim putih yang lembut","https://static.phd.co.id/menu/PHD_id-Beef_lasagna_.png","Rp 48,000"
"1520906510-32","https://www.phd.co.id/en/pasta","Beef Fettuccine","Daging asap gurih dengan taburan daging sapi renyah, jamur, dan berselimut saus creamy yang wajib untuk kamu coba!","https://s3-ap-southeast-1.amazonaws.com/pizzahutidtest/menu/pastas_beef_fettuccine.png","Rp 43,000"
