web-scraper-order,web-scraper-start-url,nama,deskripsi,foto-src,harga
"1520906655-37","https://www.phd.co.id/en/rice","Spicy Creamy Chicken Rice","Nasi, chicken schnitzel dengan saus Italia","https://static.phd.co.id/menu/PHD_id-Spicy_Chicken_Cheese.png","Rp 40,000"
"1520906655-38","https://www.phd.co.id/en/rice","Creamy Chicken Baked Rice","Nasi panggang dengan saus krim dan keju, disajikan dengan potongan chicken luncheon dan chicken stick yang renyah dan yummy","https://static.phd.co.id/menu/PHD_id-Creamy_Chicken_Baked_Rice.png","Rp 40,000"
"1520906655-39","https://www.phd.co.id/en/rice","Chicken Katsu Rice","Ayam saus oriental dan 3 potong surimi wrap. Pas kenyangnya pas nikmatnya","https://static.phd.co.id/menu/PHD_id-Chicken_Katsu_Rice.png","Rp 40,000"
"1520906655-41","https://www.phd.co.id/en/rice","Chicken Teriyaki Rice","Ayam saus teriyaki dan 3 potong Surimi Wrap. Lebih lengkap, lebih rame rasanya","https://static.phd.co.id/menu/PHD_id-Chicken_Teriyaki.png","Rp 40,000"
"1520906655-40","https://www.phd.co.id/en/rice","Roasted Chicken Rice","Ayam panggang berbumbu gurih dan 3 potong Surimi Wrap yang pas dengan seleramu","https://static.phd.co.id/menu/PHD_id-Roasted_Chicken.png","Rp 40,000"
