web-scraper-order,web-scraper-start-url,nama,deskripsi,foto-src,harga
"1520906931-52","https://www.phd.co.id/en/desserts","Choco Puff","Wafer chocolate di balut Puff Pastry yang renyah dan manis.","https://static.phd.co.id/menu/Choco-Puff_20180108.png","Rp 25,000"
"1520906931-53","https://www.phd.co.id/en/desserts","Vanilla Kiss Pannacotta","Pudding Italia dengan rasa vanilla yang lembut, disajikan dengan buah peach yang segar","https://s3-ap-southeast-1.amazonaws.com/pizzahutidtest/menu/pannacotta_vanilla_kiss.png","Rp 16,000"
"1520906931-55","https://www.phd.co.id/en/desserts","Sunny Peach Flatbread","Roti PHD dengan irisan peach, selai strawberry, dengan saus fla yang menjadikannya si cantik yang sweet","https://static.phd.co.id/menu/PHD_id-Sunny_Peach_FlatBread.png","Rp 30,000"
"1520906931-54","https://www.phd.co.id/en/desserts","Choco Smooch Pannacotta","Pudding Italia dengan rasa cokelat mengoda, disajikan dengan wafer coklat yang renyah","https://s3-ap-southeast-1.amazonaws.com/pizzahutidtest/menu/pannacotta_choco_smooch.png","Rp 16,000"
