web-scraper-order,web-scraper-start-url,nama,harga
"1519722148-50","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Nasi Putih","Rp 7.000,-"
"1519722148-77","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Es Jeruk Murni","Rp 22.550,-"
"1519722148-9","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Paket 6 : Bandeng Presto","Rp 41.000,-"
"1519722148-53","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Sambal Goreng Tahu","Rp 22.000,-"
"1519722148-65","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Juice Kelapa Muda","Rp 19.800,-"
"1519722148-10","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Paket 7 : ATA Komplit","Rp 47.000,-"
"1519722148-84","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Es Teh Tawar refill","Rp 7.700,-"
"1519722148-21","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Ayam Presto Sambal Panggang","Rp 22.273,-"
"1519722148-12","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Paket Lokal Dahlan 1","Rp 30.900,-"
"1519722148-7","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Paket 4 : Ayam Telur Asin","Rp 44.000,-"
"1519722148-20","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Ayam Presto Petasan","Rp 22.273,-"
"1519722148-24","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Bebek Presto Goreng Crispy","Rp 26.400,-"
"1519722148-51","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Nasi Uduk","Rp 6.364,-"
"1519722148-67","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Juice Melon","Rp 19.800,-"
"1519722148-75","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Es Jeruk","Rp 17.050,-"
"1519722148-96","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Coke/Sprite/Fanta","Rp 7.273,-"
"1519722148-44","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Tahu Penyet","Rp 14.300,-"
"1519722148-87","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Jeruk Hangat","Rp 13.182,-"
"1519722148-61","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Juice Alpukat","Rp 19.800,-"
"1519722148-35","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Cah Kankung Polos","Rp 19.250,-"
"1519722148-48","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Tempe Penyet","Rp 14.300,-"
"1519722148-17","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Ayam Presto Cabe Hijau","Rp 22.273,-"
"1519722148-42","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Sayur Asem","Rp 13.200,-"
"1519722148-76","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Es Jeruk Kelapa Muda","Rp 19.250,-"
"1519722148-94","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Wedang Jahe","Rp 9.545,-"
"1519722148-49","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Nasi Goreng Spesial","Rp 23.636,-"
"1519722148-52","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Sambal Goreng Pete","Rp 26.400,-"
"1519722148-27","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Gurami Bakar","Rp 63.800,-"
"1519722148-78","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Es Jeruk Nipis","Rp 18.150,-"
"1519722148-16","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Ayam Presto Bumbu Sambal","Rp 24.000,-"
"1519722148-91","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Lemon Tea Hangat","Rp 8.636,-"
"1519722148-31","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Sop Buntut /bakar","Rp 66.000,-"
"1519722148-26","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Bandeng Presto","Rp 51.500,-"
"1519722148-86","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Hot Cappucino","Rp 16.818,-"
"1519722148-73","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Es Cincau","Rp 12.650,-"
"1519722148-85","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Lemon Squash","Rp 18.150,-"
"1519722148-45","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Tahu Telor","Rp 26.400,-"
"1519722148-70","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Juice Tomat","Rp 19.800,-"
"1519722148-72","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Mixed Juice","Rp 19.800,-"
"1519722148-8","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Paket 5 : Bebek Crispy","Rp 38.000,-"
"1519722148-60","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Aneka Buah","Rp 19.800,-"
"1519722148-79","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Es Kelapa Muda","Rp 17.050,-"
"1519722148-25","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Bebek Presto Telur Asin","Rp 29.700,-"
